pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
141.0911,-123.2149,0.0,top,R18,,,R0402,3n,tht
144.5837,-123.2149,0.0,top,R19,,,R0402,2n4,tht
134.1061,-71.6211,0.0,top,R2,,,R0603,33,tht
156.6486,-135.1211,-90.0,top,R20,,,R0402,2n4,tht
138.7099,-135.1211,-90.0,top,R21,,,R0402,3n,tht
146.6474,-111.6261,-90.0,top,R22,,,R0603,1k,tht
134.1061,-73.2086,0.0,top,R3,,,R0603,33,tht
145.2186,-64.0011,180.0,top,R4,,,R0603,1k5,tht
150.7749,-70.0336,-90.0,top,R5,,,R0603,1M,tht
138.2336,-65.2711,0.0,top,R6,,,R0603,1k,tht
157.6011,-66.8586,180.0,top,R7,,,R0603,1k,tht
157.6011,-68.4461,180.0,top,R8,,,R0603,4k87,tht
153.1561,-80.1936,0.0,top,R9,,,R0603,1k,tht
165.7236,-141.1361,-90.0,top,RESET1,,,BUTTON4,BUTTON4,tht
133.7886,-76.0661,90.0,top,RN1,,,EXB28V,10k,tht
136.3286,-112.1024,180.0,top,RN10,,,EXB28V,100,tht
132.9949,-112.1023,180.0,top,RN11,,,EXB28V,100,tht
153.3148,-111.4675,180.0,top,RN12,,,EXB28V,100,tht
133.7886,-79.2411,90.0,top,RN2,,,EXB28V,100,tht
149.0286,-75.7486,180.0,top,RN3,,,EXB28V,100,tht
157.6011,-98.6086,-90.0,top,RN4,,,EXB28V,100,tht
173.1586,-96.7036,180.0,top,RN5,,,EXB28V,100,tht
157.6011,-95.7511,-90.0,top,RN6,,,EXB28V,100,tht
157.6011,-81.1461,90.0,top,RN7,,,EXB28V,N/A,tht
159.1886,-92.5761,-90.0,top,RN8,,,EXB28V,100,tht
157.6011,-89.0836,-90.0,top,RN9,,,EXB28V,100,tht
144.5836,-122.7386,180.0,top,U$1,,,SHIELD-32MM,BMI-S-204-F,tht
156.3311,-63.6836,-90.0,top,UNK100MBIT0,,,CHIP-LED0603,gr,tht
131.5011,-64.0036,0.0,top,USB1,,,USB-BMICRO,USB-BU,tht
172.5236,-121.7861,-90.0,top,X1,,,CR2025,3034TR ,tht
156.5011,-143.5036,0.0,top,X2,,,ANT-SMA-RA,,tht
138.5011,-143.5036,0.0,top,X3,,,ANT-SMA-RA,,tht
